s,t,s1,s2,s3,s4,t1,t2,t3,t4
3012,8527,12,3,0,24,2,2,0,0
16179,13038,1,0,0,0,1,0,0,0
8316,6351,1,3,4,4,11,0,30,21
7685,2577,2,0,0,0,1,0,0,0
14118,12541,12,1,6,0,2,0,3,0
16626,7615,1,0,0,0,88,1,0,0
4514,15797,1,0,0,0,1,0,5,2
778,6032,3,0,0,0,11,0,0,7
7163,11432,3,0,0,0,1,0,0,0
5455,5377,16,0,1,0,1,0,0,0
5723,13511,47,0,0,6,16,0,0,0
11659,10506,1,2,0,0,6,0,0,0
9272,14938,7,0,0,0,19,0,0,0
11117,1818,2,0,0,0,3,0,31,9
16782,8526,2,0,0,0,1,0,0,0
11455,14423,1,0,0,0,3,0,0,0
6672,12557,2,0,0,0,1,0,0,0
5599,773,1,1,0,0,3,0,0,0
8366,8219,2,0,6,0,5,4,4,2
15487,11932,1,0,0,0,7,0,3,0
14018,14296,1,0,0,0,1,0,0,0
9665,17388,3,0,0,0,15,0,14,0
8565,4923,1,0,0,0,1,0,0,0
5529,12799,1,0,0,0,1,0,0,0
1208,10653,9,0,0,0,1,0,0,0
1614,9351,3,0,0,0,1,0,0,0
11241,13677,30,0,12,6,1,0,0,0
4841,1208,4,0,0,0,9,0,0,0
6835,15198,7,0,0,0,1,0,0,0
8295,16705,1,0,0,0,2,0,0,0
5386,9623,83,2,1,0,9,0,0,0
4817,16167,2,0,5,3,2,0,1,0
16201,1898,2,0,0,0,1,0,0,0
16366,11421,2,0,0,1,5,111,2,10
2812,5988,31,2,16,2,2,4,2,0
14402,4771,5,0,0,0,16,0,1,0
14120,13347,1,0,0,0,91,0,6,22
1778,4263,7,0,3,3,1,0,0,0
6424,3190,1,1,1,0,1,1,0,0
7538,5712,20,0,20,0,1,0,3,0
7645,783,8,0,0,0,35,0,8,3
600,5860,15,0,2,0,43,2,3,9
2381,4720,3,1,0,1,2,0,0,1
2332,11971,3,0,0,0,4,0,0,1
16322,4758,3,0,1,2,1,1,0,1
8081,13322,9,5,9,5,3,0,1,1
13490,14922,17,1,0,0,10,3,5,4
7163,1710,3,0,0,0,1,0,0,0
9631,6311,6,0,1,16,1,0,0,5
3980,17003,22,0,0,0,5,0,0,0
4625,8563,39,0,5,0,1,0,2,0
13284,3496,3,0,0,0,15,0,0,0
5808,10105,6,0,0,0,2,0,0,0
5808,10108,6,0,0,0,22,0,0,0
2667,648,17,6,5,0,6,11,20,5
2635,12357,3,0,0,0,1,0,0,0
15859,13481,3,0,0,0,2,1,0,0
14537,4377,4,0,0,0,3,0,1,0
17294,2666,2,0,0,0,2,0,0,0
12533,934,25,0,2,0,2,0,0,0
2233,9308,11,0,2,4,82,2,15,1
15223,12657,21,0,0,1,1,0,0,0
1998,7573,15,2,0,0,40,7,0,0
2234,7907,6,0,1,0,1,0,0,0
1583,11328,15,0,0,0,1,0,0,0
508,3461,39,0,1,0,9,1,5,11
15506,2156,12,0,0,0,3,0,0,0
14203,12801,2,0,4,0,1,0,0,0
290,7408,37,6,3,0,19,0,0,0
13466,5080,1,0,0,0,1,0,0,0
2712,9686,1,0,2,0,1,0,0,0
5913,7536,9,0,0,3,2,0,0,0
7569,660,1,0,0,0,3,0,0,1
15152,11903,10,0,0,0,1,1,0,0
6878,6529,1,0,0,0,4,0,0,0
12581,1372,1,0,0,0,1,0,0,0
4533,9277,201,2,12,4,40,0,0,4
12143,2655,2,0,0,0,8,1,1,0
4273,5445,1,0,1,0,10,0,4,0
3372,7678,4,0,0,0,35,0,5,0
12999,12212,2,0,0,0,18,0,4,0
6406,12533,7,0,2,0,25,0,2,0
3098,1265,54,1,1,7,27,1,6,1
4860,10604,1,0,0,0,3,0,1,1
8574,14106,47,2,4,0,1,0,0,0
6735,7103,1,0,0,0,4,0,1,0
15223,12671,21,0,0,1,2,4,1,2
16782,8581,2,0,0,0,2,0,0,0
16972,9682,1,0,0,0,1,0,0,0
13117,11443,25,2,6,0,5,1,1,0
11457,14239,1,0,0,0,1,0,0,1
5963,9294,31,0,0,0,1,0,0,0
9747,4749,102,1,20,2,11,0,1,0
17243,11234,118,0,1,3,12,0,0,0
4426,13493,12,8,11,14,21,0,5,0
5460,1308,1,0,0,0,11,0,0,0
8574,14112,47,2,4,0,33,0,1,2
2332,9979,3,0,0,0,45,1,0,1
5761,13414,94,3,38,164,6,0,6,29
7618,12542,4,0,0,0,22,0,1,0
13584,508,21,0,1,0,39,0,1,0
14203,12829,2,0,4,0,2,0,1,0
17377,17394,15,0,1,0,62,0,6,7
2055,2416,5,0,0,0,2,0,0,0
6262,17034,1,1,0,0,1,0,0,0
15927,12084,1,0,1,2,4,0,1,0
8676,12057,3,2,0,3,48,0,8,36
8278,15030,38,0,0,0,8,0,1,0
230,14464,1,0,0,1,4,0,0,1
9506,5982,1,0,0,0,1,0,0,0
2861,9318,33,2,1,0,27,19,0,0
12067,12570,2,0,1,1,13,0,2,0
